step,time_s,theta_raw,omega_raw,theta_corrected,omega_corrected,top_error,u_policy_raw,u_signed,u_clipped,u_safe,u_commanded,raw_reward
0.0,0.0,0.0,0.8530280590057373,0.0,0.8530280590057373,-3.141592653589793,3.0,3.0,3.0,3.0,3.0,-1.002072765686945
1.0,0.025,0.0,0.1929740011692047,0.0,0.1929740011692047,-3.141592653589793,3.0,3.0,3.0,3.0,3.0,-1.0020037238965127
2.0,0.05,0.028274333104491234,4.555995941162109,0.028274333104491234,4.555995941162109,-3.113318320485302,3.0,3.0,3.0,3.0,3.0,-1.0036760175738344
3.0,0.07500000000000001,0.11938051879405975,5.559906959533691,0.11938051879405975,5.559906959533691,-3.0222121347957334,3.0,3.0,3.0,3.0,3.0,-0.9979738613529191
4.0,0.1,0.23247785866260529,7.760087490081787,0.23247785866260529,7.760087490081787,-2.909114794927188,3.0,3.0,3.0,3.0,3.0,-0.9811204062383034
5.0,0.125,0.3675663471221924,7.760087490081787,0.3675663471221924,7.760087490081787,-2.7740263064676007,3.0,3.0,3.0,3.0,3.0,-0.9412265260288383
6.0,0.15000000000000002,0.5277875661849976,7.760087490081787,0.5277875661849976,7.760087490081787,-2.6138050874047956,3.0,3.0,3.0,3.0,3.0,-0.8719453127858677
7.0,0.17500000000000002,0.6785840392112732,3.4559056758880615,0.6785840392112732,3.4559056758880615,-2.46300861437852,-2.9999990463256836,-2.9999990463256836,-2.9999990463256836,-2.9999990463256836,-2.9999990463256836,-0.7816566123570254
8.0,0.2,0.8388052582740784,6.439979076385498,0.8388052582740784,6.439979076385498,-2.3027873953157147,-2.999999761581421,-2.999999761581421,-2.999999761581421,-2.999999761581421,-2.999999761581421,-0.6744993381977817
9.0,0.225,0.8859291076660156,0.28213152289390564,0.8859291076660156,0.28213152289390564,-2.2556635459237775,-3.0,-3.0,-3.0,-3.0,-3.0,-0.6345781377233726
10.0,0.25,0.7665486335754395,-7.0061235427856445,0.7665486335754395,-7.0061235427856445,-2.3750440200143537,-3.0,-3.0,-3.0,-3.0,-3.0,-0.7272175834935588
11.0,0.275,0.4335397779941559,-7.0061235427856445,0.4335397779941559,-7.0061235427856445,-2.7080528755956372,-3.0,-3.0,-3.0,-3.0,-3.0,-0.9143930046960164
12.0,0.30000000000000004,-0.012566370889544487,-13.854342460632324,-0.012566370889544487,-13.854342460632324,3.1290262827002486,-3.0,-3.0,-3.0,-3.0,-3.0,-1.0211153247020062
13.0,0.325,-0.4995132386684418,-14.734414100646973,-0.4995132386684418,-14.734414100646973,2.6420794149213513,-3.0,-3.0,-3.0,-3.0,-3.0,-0.9015261196179362
14.0,0.35000000000000003,-0.9864600896835327,-13.634324073791504,-0.9864600896835327,-13.634324073791504,2.1551325639062604,-3.0,-3.0,-3.0,-3.0,-3.0,-0.5722353528790395
15.0,0.375,-1.3508847951889038,-11.530323028564453,-1.3508847951889038,-11.530323028564453,1.7907078584008893,-3.0,-3.0,-3.0,-3.0,-3.0,-0.23343812106122402
16.0,0.4,-1.6713272333145142,-10.650251388549805,-1.6713272333145142,-10.650251388549805,1.470265420275279,-3.0,-3.0,-3.0,-3.0,-3.0,0.08701887128686495
17.0,0.42500000000000004,-1.9666370153427124,-8.546249389648438,-1.9666370153427124,-8.546249389648438,1.1749556382470807,-2.9999899864196777,-2.9999899864196777,-2.9999899864196777,-2.9999899864196777,-2.9999899864196777,0.3762801808636107
18.0,0.45,-2.2556636333465576,-4.022049903869629,-2.2556636333465576,-4.022049903869629,0.8859290202432355,-2.9995532035827637,-2.9995532035827637,-2.9995532035827637,-2.9995532035827637,-2.9995532035827637,0.6289531527542317
19.0,0.47500000000000003,-2.5132741928100586,-6.786105632781982,-2.5132741928100586,-6.786105632781982,0.6283184607797345,-2.9646964073181152,-2.9646964073181152,-2.9646964073181152,-2.9646964073181152,-2.9646964073181152,0.8024587070093269
20.0,0.5,-2.7143361568450928,-4.682104110717773,-2.7143361568450928,-4.682104110717773,0.42725649674470034,-2.6489317417144775,-2.6489317417144775,-2.6489317417144775,-2.6489317417144775,-2.6489317417144775,0.9063545063108782
