step,time_s,theta_raw,omega_raw,theta_corrected,omega_corrected,top_error,u_policy_raw,u_signed,u_clipped,u_safe,u_commanded,raw_reward
0.0,0.0,0.0,-0.027044018730521202,0.0,-0.027044018730521202,-3.141592653589793,3.0,3.0,0.3,0.02,0.02,-1.0000001620267838
1.0,0.025,0.0,0.8530280590057373,0.0,0.8530280590057373,-3.141592653589793,3.0,3.0,0.3,0.04,0.04,-1.0000731212425007
2.0,0.05,0.0,2.2969753742218018,0.0,2.2969753742218018,-3.141592653589793,3.0,3.0,0.3,0.06,0.06,-1.0005284095869782
3.0,0.07500000000000001,0.0,1.073046088218689,0.0,1.073046088218689,-3.141592653589793,3.0,3.0,0.3,0.08,0.08,-1.0001165650129664
4.0,0.1,0.0,1.073046088218689,0.0,1.073046088218689,-3.141592653589793,3.0,3.0,0.3,0.1,0.1,-1.0001173650129664
5.0,0.125,0.0,1.5851023197174072,0.0,1.5851023197174072,-3.141592653589793,3.0,3.0,0.3,0.12000000000000001,0.12000000000000001,-1.0002544549363974
6.0,0.15000000000000002,0.0,2.685192346572876,0.0,2.685192346572876,-3.141592653589793,3.0,3.0,0.3,0.14,0.14,-1.0007253813493648
7.0,0.17500000000000002,0.0,1.5851023197174072,0.0,1.5851023197174072,-3.141592653589793,3.0,3.0,0.3,0.16,0.16,-1.0002569438252862
8.0,0.2,0.0,1.145066261291504,0.0,1.145066261291504,-3.141592653589793,3.0,3.0,0.3,0.18,0.18,-1.0001383176742749
9.0,0.225,0.0,0.26499417424201965,0.0,0.26499417424201965,-3.141592653589793,3.0,3.0,0.3,0.19999999999999998,0.19999999999999998,-1.0000159110801272
10.0,0.25,0.0,0.26499417424201965,0.0,0.26499417424201965,-3.141592653589793,3.0,3.0,0.3,0.21999999999999997,0.21999999999999997,-1.0000177777467938
11.0,0.275,0.0,1.145066261291504,0.0,1.145066261291504,-3.141592653589793,3.0,3.0,0.3,0.23999999999999996,0.23999999999999996,-1.0001439176742748
12.0,0.30000000000000004,0.0,1.8771405220031738,0.0,1.8771405220031738,-3.141592653589793,3.0,3.0,0.3,0.25999999999999995,0.25999999999999995,-1.0003673878761568
13.0,0.325,0.0,0.4331931471824646,0.0,0.4331931471824646,-3.141592653589793,3.0,3.0,0.3,0.27999999999999997,0.27999999999999997,-1.0000361878524988
14.0,0.35000000000000003,0.0,-0.6668969392776489,0.0,-0.6668969392776489,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000644751527616
15.0,0.375,0.0,0.6532111763954163,0.0,0.6532111763954163,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000626684840968
16.0,0.4,0.0,0.4331931471824646,0.0,0.4331931471824646,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000387656302765
17.0,0.42500000000000004,0.0,0.21317513287067413,0.0,0.21317513287067413,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000245443637275
18.0,0.45,0.0,-0.0068428912200033665,0.0,-0.0068428912200033665,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000200046825158
19.0,0.47500000000000003,0.0,1.8771405220031738,0.0,1.8771405220031738,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0003723656539345
20.0,0.5,0.0,0.4331931471824646,0.0,0.4331931471824646,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000387656302765
21.0,0.525,0.0,1.3132652044296265,0.0,1.3132652044296265,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0001924665497164
22.0,0.55,0.0,1.0932471752166748,0.0,1.0932471752166748,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0001395189386117
23.0,0.5750000000000001,0.0,0.21317513287067413,0.0,0.21317513287067413,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000245443637275
24.0,0.6000000000000001,0.0,-0.226860910654068,0.0,-0.226860910654068,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000251465872783
25.0,0.625,0.0,0.6532111763954163,0.0,0.6532111763954163,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000626684840968
26.0,0.65,0.0,0.8732292056083679,0.0,0.8732292056083679,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000962529245527
27.0,0.675,0.0,2.317176580429077,0.0,2.317176580429077,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.000556930730489
28.0,0.7000000000000001,0.0,2.317176580429077,0.0,2.317176580429077,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.000556930730489
29.0,0.7250000000000001,0.0,-0.0068428912200033665,0.0,-0.0068428912200033665,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000200046825158
30.0,0.75,0.0,0.8732292056083679,0.0,0.8732292056083679,-3.141592653589793,3.0,3.0,0.3,0.3,0.3,-1.0000962529245527
