step,time_s,theta_raw,omega_raw,theta_corrected,omega_corrected,top_error,u_policy_raw,u_signed,u_clipped,u_safe,u_commanded,raw_reward
0.0,0.0,0.0,-0.9071161150932312,0.0,-0.9071161150932312,-3.141592653589793,3.0,3.0,0.3,0.02,0.02,-1.000082374853515
1.0,0.025,0.0,0.412992000579834,0.0,0.412992000579834,-3.141592653589793,3.0,3.0,0.3,0.04,0.04,-1.00001741179481
2.0,0.05,0.0,0.1929740011692047,0.0,0.1929740011692047,-3.141592653589793,3.0,3.0,0.3,0.06,0.06,-1.0000045238965127
3.0,0.07500000000000001,0.0,-0.027044018730521202,0.0,-0.027044018730521202,-3.141592653589793,3.0,3.0,0.3,0.08,0.08,-1.000001495360117
4.0,0.1,0.0,1.073046088218689,0.0,1.073046088218689,-3.141592653589793,3.0,3.0,0.3,0.1,0.1,-1.0001173650129664
5.0,0.125,0.0,0.9250482320785522,0.0,0.9250482320785522,-3.141592653589793,3.0,3.0,0.3,0.12000000000000001,0.12000000000000001,-1.0000887714231672
6.0,0.15000000000000002,0.0,1.145066261291504,0.0,1.145066261291504,-3.141592653589793,3.0,3.0,0.3,0.14,0.14,-1.0001354732298304
7.0,0.17500000000000002,0.0,2.0251383781433105,0.0,2.0251383781433105,-3.141592653589793,3.0,3.0,0.3,0.16,0.16,-1.0004158074339518
8.0,0.2,0.0,0.26499417424201965,0.0,0.26499417424201965,-3.141592653589793,3.0,3.0,0.3,0.18,0.18,-1.0000142221912383
9.0,0.225,0.0,1.8771405220031738,0.0,1.8771405220031738,-3.141592653589793,3.0,3.0,0.3,0.19999999999999998,0.19999999999999998,-1.0003612545428235
10.0,0.25,0.0,0.7050302028656006,0.0,0.7050302028656006,-3.141592653589793,3.0,3.0,0.3,0.21999999999999997,0.21999999999999997,-1.0000604623142508
11.0,0.275,0.0,0.7050302028656006,0.0,0.7050302028656006,-3.141592653589793,3.0,3.0,0.3,0.23999999999999996,0.23999999999999996,-1.0000625067586952
12.0,0.30000000000000004,0.0,0.26499417424201965,0.0,0.26499417424201965,-3.141592653589793,3.0,3.0,0.3,0.25999999999999995,0.25999999999999995,-1.0000220444134604
13.0,0.325,0.0,0.21317513287067413,0.0,0.21317513287067413,-3.141592653589793,3.0,3.0,0.3,0.27999999999999997,0.27999999999999997,-1.0000219665859498
14.0,0.35000000000000003,0.0031415927223861217,-0.0068428912200033665,0.0031415927223861217,-0.0068428912200033665,-3.138451060867407,3.0,3.0,0.3,0.3,0.3,-1.0000150698841581
15.0,0.375,0.0031415927223861217,0.4331931471824646,0.0031415927223861217,0.4331931471824646,-3.138451060867407,3.0,3.0,0.3,0.3,0.3,-1.0000338308319185
16.0,0.4,0.0031415927223861217,0.21317513287067413,0.0031415927223861217,0.21317513287067413,-3.138451060867407,3.0,3.0,0.3,0.3,0.3,-1.0000196095653695
17.0,0.42500000000000004,0.0031415927223861217,0.4331931471824646,0.0031415927223861217,0.4331931471824646,-3.138451060867407,3.0,3.0,0.3,0.3,0.3,-1.0000338308319185
18.0,0.45,0.0031415927223861217,0.6532111763954163,0.0031415927223861217,0.6532111763954163,-3.138451060867407,3.0,3.0,0.3,0.3,0.3,-1.0000577336857388
19.0,0.47500000000000003,0.0031415927223861217,0.4331931471824646,0.0031415927223861217,0.4331931471824646,-3.138451060867407,3.0,3.0,0.3,0.3,0.3,-1.0000338308319185
