step,time_s,theta_raw,omega_raw,theta_corrected,omega_corrected,top_error,u_policy_raw,u_signed,u_clipped,u_safe,u_commanded,raw_reward
0.0,0.0,0.0,1.073046088218689,0.0,1.073046088218689,-3.141592653589793,3.0,3.0,3.0,3.0,3.0,-1.0021151427907442
1.0,0.025,0.0,0.412992000579834,0.0,0.412992000579834,-3.141592653589793,3.0,3.0,3.0,3.0,3.0,-1.0020170562392543
2.0,0.05,0.015707964077591896,4.555995941162109,0.015707964077591896,4.555995941162109,-3.125884689512201,3.0,3.0,3.0,3.0,3.0,-1.0039523423705319
3.0,0.07500000000000001,0.08482300490140915,5.339889049530029,0.08482300490140915,5.339889049530029,-3.056769648688384,3.0,3.0,3.0,3.0,3.0,-1.001256126874997
4.0,0.1,0.21991148591041565,4.335978031158447,0.21991148591041565,4.335978031158447,-2.9216811676793775,3.0,3.0,3.0,3.0,3.0,-0.9797968324527031
5.0,0.125,0.35814157128334045,7.100033283233643,0.35814157128334045,7.100033283233643,-2.7834510823064527,3.0,3.0,3.0,3.0,3.0,-0.9435909309348702
6.0,0.15000000000000002,0.5686282515525818,8.20012378692627,0.5686282515525818,8.20012378692627,-2.5729644020372113,3.0,3.0,3.0,3.0,3.0,-0.8513646252674377
7.0,0.17500000000000002,0.7414158582687378,7.540069103240967,0.7414158582687378,7.540069103240967,-2.4001767953210553,-2.8936994075775146,-2.8936994075775146,-2.8936994075775146,-2.8936994075775146,-2.8936994075775146,-0.745059163901431
8.0,0.2,0.8922123312950134,3.2358877658843994,0.8922123312950134,3.2358877658843994,-2.2493803222947797,-3.0,-3.0,-3.0,-3.0,-3.0,-0.6307384444943205
9.0,0.225,0.9393361806869507,-0.08588432520627975,0.9393361806869507,-0.08588432520627975,-2.2022564729028424,-3.0,-3.0,-3.0,-3.0,-3.0,-0.5923247053200825
10.0,0.25,0.8136724829673767,-6.786105632781982,0.8136724829673767,-6.786105632781982,-2.3279201706224164,-3.0,-3.0,-3.0,-3.0,-3.0,-0.6934389799127803
11.0,0.275,0.5529202818870544,-8.986285209655762,0.5529202818870544,-8.986285209655762,-2.5886723717027387,-3.0,-3.0,-3.0,-3.0,-3.0,-0.8610698271870036
12.0,0.30000000000000004,0.1005309671163559,-12.630413055419922,0.1005309671163559,-12.630413055419922,-3.041061686473437,-3.0,-3.0,-3.0,-3.0,-3.0,-1.0129037501554077
13.0,0.325,-0.39269909262657166,-13.634324073791504,-0.39269909262657166,-13.634324073791504,2.7488935609632215,-3.0,-3.0,-3.0,-3.0,-3.0,-0.9444690076242975
14.0,0.35000000000000003,-0.8984954953193665,-13.854342460632324,-0.8984954953193665,-13.854342460632324,2.2430971582704267,-3.0,-3.0,-3.0,-3.0,-3.0,-0.64398206381209
15.0,0.375,-1.30061936378479,-10.430233001708984,-1.30061936378479,-10.430233001708984,1.840973289805003,-3.0,-3.0,-3.0,-3.0,-3.0,-0.27978096035734035
