step,time_s,theta_raw,omega_raw,theta_corrected,omega_corrected,top_error,u_policy_raw,u_signed,u_clipped,u_safe,u_commanded,raw_reward
42.0,1.05,0.07853981852531433,1.0576717853546143,0.07853981852531433,1.0576717853546143,-3.063052835064479,3.0,3.0,3.0,0.8600000000000004,0.8600000000000004,-0.9971935560777593
43.0,1.075,0.09110618382692337,1.7177258729934692,0.09110618382692337,1.7177258729934692,-3.0504864697628697,3.0,3.0,3.0,0.8800000000000004,0.8800000000000004,-0.9963198485960612
44.0,1.1,0.103672556579113,1.2258707284927368,0.103672556579113,1.2258707284927368,-3.03792009701068,3.0,3.0,3.0,0.9000000000000005,0.9000000000000005,-0.9949610879981147
45.0,1.125,0.11309733241796494,1.2258707284927368,0.11309733241796494,1.2258707284927368,-3.028495321171828,3.0,3.0,3.0,0.9200000000000005,0.9200000000000005,-0.9939496756643212
46.0,1.1500000000000001,0.12252211570739746,3.7699081897735596,0.12252211570739746,3.7699081897735596,-3.0190705378823957,3.0,3.0,3.0,0.9400000000000005,0.9400000000000005,-0.9941211268073107
47.0,1.175,0.12880529463291168,3.3298721313476562,0.12880529463291168,3.3298721313476562,-3.0127873589568814,3.0,3.0,3.0,0.9600000000000005,0.9600000000000005,-0.9930296654865735
48.0,1.2000000000000002,0.1319468915462494,0.12578067183494568,0.1319468915462494,0.12578067183494568,-3.0096457620435437,3.0,3.0,3.0,0.9800000000000005,0.9800000000000005,-0.991522635356908
49.0,1.225,0.1319468915462494,2.3979809284210205,0.1319468915462494,2.3979809284210205,-3.0096457620435437,3.0,3.0,3.0,1.0000000000000004,1.0000000000000004,-0.9921048845324744
50.0,1.25,0.1319468915462494,0.8578549027442932,0.1319468915462494,0.8578549027442932,-3.0096457620435437,3.0,3.0,3.0,1.0200000000000005,1.0200000000000005,-0.9916124225603613
51.0,1.2750000000000001,0.1319468915462494,2.6179990768432617,0.1319468915462494,2.6179990768432617,-3.0096457620435437,3.0,3.0,3.0,1.0400000000000005,1.0400000000000005,-0.9922333785291358
